1,Ulaanbaatar,47.9167,106.9166,Mongolia,Ulaanbaatar
2,Darhan,49.6167,106.35,Mongolia,Selenge
3,Cancun,21.17,-86.83,Mexico,Quintana Roo
4,San Fernando,24.8504,-98.16,Mexico,Tamaulipas
5,Santiago Tuxtla,18.4704,-95.3,Mexico,Veracruz
6,Kuala Lumpur,3.1667,101.7,Malaysia,Kuala Lumpur
7,George Town,5.4136,100.3294,Malaysia,Pulau Pinang
8,Kathmandu,27.7167,85.3166,Nepal,Bgmat
9,Pokhara,28.264,83.972,Nepal,Pokhara
10,Nepalganj,28.0503,81.6167,Nepal,Nepalganj
11,Cheremkhovo,53.1588,103.0739,Russia,Irkutskaya Oblast
12,Gornyak,50.9881,81.4877,Russia,Altayskiy Kray
13,Cheboksary,56.13,47.25,Russia,Chuvashiya
14,Moscow,55.7522,37.6155,Russia,Moskva
15,Slavgorod,53.0049,78.6696,Russia,Altayskiy Kray
16,Vladikavkaz,43.0504,44.67,Russia,North Ossetia
17,Bangkok,13.75,100.5166,Thailand,Krung Thep Maha Nakhon
18,Ang Thong,14.5833,100.45,Thailand,Ang Thong
19,Lampang,18.2916,99.4813,Thailand,Lampang
20,Sydney,-33.92,151.1852,Australia,New South Wales
21,Katoomba,-33.7069,150.32,Australia,New South Wales
22,Newcastle,-32.8453,151.815,Australia,New South Wales
23,Griffith,-34.29,146.04,Australia,New South Wales
24,Salvador,-12.97,-38.48,Brazil,Bahia
25,Braslia,-15.7833,-47.9161,Brazil,Distrito Federal
26,Rio Branco,-9.9666,-67.8,Brazil,Acre
27,Camrose,53.0167,-112.8166,Canada,Alberta
28,Vancouver,49.2734,-123.1216,Canada,British Columbia
29,Toronto,43.7,-79.42,Canada,Ontario
30,Edmonton,53.55,-113.5,Canada,Alberta
31,Sudbury,46.5,-80.9666,Canada,Ontario
32,Qubec,46.84,-71.2456,Canada,Qubec
33,Shanghai,31.2165,121.4365,China,Shanghai
34,Shijianzhuang,38.05,114.48,China,Hebei
35,Shangqiu,34.4504,115.65,China,Henan
36,Nangong,37.3704,115.37,China,Hebei
37,Harbin,45.75,126.65,China,Heilongjiang
38,Wuhan,30.58,114.27,China,Hubei
39,Jinshi,29.6321,111.8517,China,Hunan
40,Barcelona,41.3833,2.1834,Spain,Catalonia
41,Las Palmas,28.1,-15.43,Spain,Canary Islands
42,Granada,37.165,-3.585,Spain,Andalusia
43,Bilbao,43.25,-2.93,Spain,Basque Country
44,Santa Cruz de Tenerife,28.47,-16.25,Spain,Canary Islands
45,Valencia,39.485,-0.4,Spain,Valencia
46,Madrid,40.4,-3.6834,Spain,Madrid
47,San Sebastin,43.3204,-1.98,Spain,Basque Country
48,Paris,48.8667,2.3333,France,le-de-France
49,Montpellier,43.6104,3.87,France,Occitanie
50,Versailles,48.8005,2.1333,France,le-de-France
51,Dudley,52.5,-2.0833,United Kingdom,Dudley
52,Oxford,51.7704,-1.25,United Kingdom,Oxfordshire
53,Sunderland,54.92,-1.38,United Kingdom,Sunderland
54,Wokingham,51.4167,-0.8333,United Kingdom,Wokingham
55,City of Westminster,51.5,-0.1167,United Kingdom,Westminster
56,Nottingham,52.9703,-1.17,United Kingdom,Nottingham
57,Winchester,51.0167,-1.3167,United Kingdom,Hampshire
58,Thornbury,51.6089,-2.5203,United Kingdom,South Gloucestershire
59,Cambridge,52.2004,0.1166,United Kingdom,Cambridgeshire
60,Newport,50.7,-1.3,United Kingdom,Isle of Wight
61,Birmingham,52.475,-1.92,United Kingdom,Birmingham
62,Manchester,53.5004,-2.248,United Kingdom,Manchester
63,London,51.5,-0.1167,United Kingdom,London
64,Liverpool,53.416,-2.918,United Kingdom,Liverpool
65,Newcastle,55.0004,-1.6,United Kingdom,Newcastle upon Tyne
66,Songnam,37.4386,127.1378,Korea (South),Gyeonggi
67,Ulsan,35.5467,129.317,Korea (South),Ulsan
68,Seoul,37.5663,126.9997,Korea (South),Seoul
69,Jeju,33.5101,126.5219,Korea (South),Jeju
70,Busan,35.0951,129.01,Korea (South),Busan
71,Gwangju,35.171,126.9104,Korea (South),Gwangju
72,Suwon,37.2578,127.0109,Korea (South),Gyeonggi
73,Lynnwood,47.8285,-122.3034,United States,Washington
74,Seattle,47.6217,-122.3238,United States,Washington
75,Oak Harbor,48.2965,-122.6331,United States,Washington
76,Federal Way,47.3091,-122.3358,United States,Washington
77,Auburn,47.3039,-122.2108,United States,Washington
78,Tacoma,47.2431,-122.4531,United States,Washington
79,Puyallup,47.1794,-122.2901,United States,Washington
80,Bellevue,47.5953,-122.155,United States,Washington
81,DuPont,47.1079,-122.6496,United States,Washington
82,Fairfax,38.8531,-77.2998,United States,Virginia
83,Georgetown,30.6669,-97.694,United States,Texas
84,Austin,30.3038,-97.7545,United States,Texas
85,Newark,43.0418,-77.093,United States,New York
86,Waterloo,42.9048,-76.8592,United States,New York
87,Buffalo,42.9016,-78.8487,United States,New York
88,Queens,40.7498,-73.7976,United States,New York
89,New York,40.6943,-73.9249,United States,New York
90,Sidney,42.3066,-75.3983,United States,New York
